dir,name,fm_outcome,rs_outcome,fm_ns,rs_ns,speedup
array,test_assign1,pass,pass,87510.6,1881.9,46.501195600191295
array,test_assign10,pass,pass,40577.4,1515.9,26.76786067682565
array,test_assign11,pass,pass,40234.4,2032.1,19.79941931991536
array,test_assign12,pass,pass,113186.8,5023.3,22.532359206099574
array,test_assign13,pass,pass,27062.2,1014.3,26.680666469486347
array,test_assign14,pass,pass,187931.0,5731.5,32.789147692576115
array,test_assign15,pass,pass,46521.6,2405.3,19.341287989024234
array,test_assign16,pass,pass,481818.2,16643.0,28.950201285825873
array,test_assign17,pass,pass,29235.0,891.0,32.81144781144781
array,test_assign18,pass,pass,25721.2,656.4,39.18525289457648
array,test_assign19,pass,pass,34891.2,1787.1,19.523921436964915
array,test_assign2,pass,pass,43960.7,1435.6,30.621830593480077
array,test_assign20,pass,pass,147887.3,8919.8,16.579665463351198
array,test_assign21,pass,pass,118181.8,5663.4,20.867641346187803
array,test_assign22,pass,pass,38352.3,1258.5,30.474612634088203
array,test_assign3,pass,pass,43776.8,1626.6,26.913070207795403
array,test_assign4,pass,pass,90059.5,1964.7,45.83880490660152
array,test_assign5,pass,pass,80218.1,1620.8,49.492904738400796
array,test_assign6,pass,pass,45064.4,1550.5,29.064430828764916
array,test_assign7,pass,pass,25335.3,486.5,52.07667009249743
array,test_assign8,pass,pass,25292.7,477.5,52.9690052356021
array,test_assign9,pass,pass,38352.3,1294.9,29.617962777048422
array,test_cell1,pass,pass,45493.6,1709.4,26.61378261378261
array,test_det1,pass,pass,452173.9,2073.0,218.12537385431742
array,test_diag1,pass,pass,102897.1,4359.6,23.602417652995687
array,test_diag2,pass,pass,103896.1,4359.7,23.83102048306076
array,test_diag3,pass,pass,90059.5,3367.3,26.745315237727556
array,test_diag4,pass,pass,99065.4,4273.3,23.18241171928018
array,test_diag5,pass,pass,34891.2,756.5,46.12187706543291
array,test_isfloat1,pass,pass,232558.1,637.9,364.5682708888541
array,test_isinteger1,pass,pass,276041.7,771.4,357.84508685506876
array,test_num2str1,pass,pass,83593.7,2271.5,36.801100594320935
array,test_ones1,pass,pass,34251.0,1366.3,25.06843299421796
array,test_permute1,pass,pass,234883.7,12618.9,18.613643027522212
array,test_permute2,pass,pass,550000.0,67384.8,8.16207809476321
array,test_repmat1,pass,pass,85156.2,3295.4,25.840929780906716
array,test_repmat2,pass,pass,85937.5,3524.3,24.384274891467808
array,test_repmat3,pass,pass,92013.9,4693.8,19.603285184711744
array,test_reshape1,pass,pass,52791.9,3454.5,15.282066869300913
array,test_reshape2,pass,pass,60233.9,2829.8,21.28556788465616
array,test_resize1,pass,pass,331250.0,84021.4,3.9424479953916505
array,test_resize2,pass,pass,392592.6,120240.7,3.2650558421566074
array,test_resize3,pass,pass,252500.0,30056.2,8.400928926477732
array,test_resize4,pass,pass,2295454.5,328635.9,6.9847953312465245
array,test_resize5,pass,pass,2080000.0,325527.2,6.38963502896225
array,test_resize6,pass,pass,265789.5,11975.1,22.19517999849688
array,test_resize7,pass,pass,4857142.9,2482138.2,1.9568382211755977
