dir,name,outcome,reps,ns_per_iter
array,test_assign1,pass,1177,87510.6
array,test_assign10,pass,2563,40577.4
array,test_assign11,pass,2560,40234.4
array,test_assign12,pass,910,113186.8
array,test_assign13,pass,3843,27062.2
array,test_assign14,pass,580,187931.0
array,test_assign15,pass,2343,46521.6
array,test_assign16,pass,220,481818.2
array,test_assign17,pass,3660,29235.0
array,test_assign18,pass,4160,25721.2
array,test_assign19,pass,3124,34891.2
array,test_assign2,pass,2343,43960.7
array,test_assign20,pass,710,147887.3
array,test_assign21,pass,880,118181.8
array,test_assign22,pass,2816,38352.3
array,test_assign3,pass,2330,43776.8
array,test_assign4,pass,1177,90059.5
array,test_assign5,pass,1284,80218.1
array,test_assign6,pass,2330,45064.4
array,test_assign7,pass,4026,25335.3
array,test_assign8,pass,4270,25292.7
array,test_assign9,pass,2816,38352.3
array,test_cell1,pass,2330,45493.6
array,test_det1,pass,230,452173.9
array,test_diag1,pass,1001,102897.1
array,test_diag2,pass,1001,103896.1
array,test_diag3,pass,1177,90059.5
array,test_diag4,pass,1070,99065.4
array,test_diag5,pass,3124,34891.2
array,test_isfloat1,pass,473,232558.1
array,test_isinteger1,pass,384,276041.7
array,test_num2str1,pass,1280,83593.7
array,test_ones1,pass,3124,34251.0
array,test_permute1,pass,430,234883.7
array,test_permute2,pass,200,550000.0
array,test_repmat1,pass,1280,85156.2
array,test_repmat2,pass,1280,85937.5
array,test_repmat3,pass,1152,92013.9
array,test_reshape1,pass,1970,52791.9
array,test_reshape2,pass,1710,60233.9
array,test_resize1,pass,320,331250.0
array,test_resize2,pass,270,392592.6
array,test_resize3,pass,400,252500.0
array,test_resize4,pass,44,2295454.5
array,test_resize5,pass,50,2080000.0
array,test_resize6,pass,380,265789.5
array,test_resize7,pass,21,4857142.9
array,test_resize8,pass,1284,84891.0
array,test_sort,pass,4270,23887.6
array,test_sparse116,pass,640,168750.0
array,test_sparse20,pass,640,160937.5
array,test_sparse21,pass,530,198113.2
array,test_sparse56,pass,9,11222222.2
array,test_sparse63,pass,1,140000000.0
array,test_sparse64,pass,1,234000000.0
array,test_sparse65,pass,1,169000000.0
array,test_sparse66,pass,1,223000000.0
array,test_sparse67,pass,1,133000000.0
array,test_sparse68,pass,1,195000000.0
