dir,name,outcome,reps,ns_per_iter
array,test_assign1,pass,53139,1881.9
array,test_assign10,pass,65969,1515.9
array,test_assign11,pass,49211,2032.1
array,test_assign12,pass,19908,5023.3
array,test_assign13,pass,98592,1014.3
array,test_assign14,pass,17448,5731.5
array,test_assign15,pass,41576,2405.3
array,test_assign16,pass,6009,16643.0
array,test_assign17,pass,112233,891.0
array,test_assign18,pass,152349,656.4
array,test_assign19,pass,55958,1787.1
array,test_assign2,pass,69656,1435.6
array,test_assign20,pass,11211,8919.8
array,test_assign21,pass,17658,5663.4
array,test_assign22,pass,79459,1258.5
array,test_assign3,pass,61477,1626.6
array,test_assign4,pass,50900,1964.7
array,test_assign5,pass,61700,1620.8
array,test_assign6,pass,64497,1550.5
array,test_assign7,pass,200000,486.5
array,test_assign8,pass,200000,477.5
array,test_assign9,pass,77229,1294.9
array,test_cell1,pass,58501,1709.4
array,test_det1,pass,48240,2073.0
array,test_diag1,pass,22939,4359.6
array,test_diag2,pass,22938,4359.7
array,test_diag3,pass,29698,3367.3
array,test_diag4,pass,23401,4273.3
array,test_diag5,pass,132195,756.5
array,test_isfloat1,pass,156768,637.9
array,test_isinteger1,pass,129634,771.4
array,test_num2str1,pass,44024,2271.5
array,test_ones1,pass,73192,1366.3
array,test_permute1,pass,7925,12618.9
array,test_permute2,pass,1485,67384.8
array,test_repmat1,pass,30346,3295.4
array,test_repmat2,pass,28375,3524.3
array,test_repmat3,pass,21305,4693.8
array,test_reshape1,pass,28948,3454.5
array,test_reshape2,pass,35338,2829.8
array,test_resize1,pass,1191,84021.4
array,test_resize2,pass,832,120240.7
array,test_resize3,pass,3328,30056.2
array,test_resize4,pass,305,328635.9
array,test_resize5,pass,308,325527.2
array,test_resize6,pass,8351,11975.1
array,test_resize7,pass,41,2482138.2
array,test_resize8,pass,23525,4250.9
array,test_sort,pass,200000,446.5
array,test_sparse116,pass,8472,11804.1
array,test_sparse20,pass,9436,10597.8
array,test_sparse21,pass,6248,16007.3
array,test_sparse56,pass,20,5184725.7
array,test_sparse63,pass,2,71658014.5
array,test_sparse64,pass,2,83515984.5
array,test_sparse65,pass,1,105764499.0
array,test_sparse66,pass,1,135961728.0
array,test_sparse67,pass,2,69625049.0
array,test_sparse68,pass,2,88937296.0
array,test_sparse69,pass,13,7765234.3
array,test_sparse70,pass,1,124990425.0
array,test_sparse71,pass,1,122099527.0
array,test_sparse72,pass,1,122094217.0
array,test_sparse73,pass,1,137516361.0
array,test_sparse74,pass,2,67795072.5
array,test_sparse81,pass,6800,14706.3
array,test_sparse83,pass,6580,15198.1
array,test_zeros1,pass,39883,2507.3
binary,test_bitand1,pass,50378,1985.0
binary,test_bitor1,pass,49212,2032.0
binary,test_bitxor1,pass,49471,2021.4
constants,test_eps1,pass,38744,2581.1
elementary,test_getfield1,pass,51547,1940.0
elementary,test_getfield2,pass,29134,3432.4
elementary,test_test1,pass,113609,880.2
elementary,test_test2,pass,116229,860.4
elementary,test_test3,pass,61714,1620.4
elementary,test_test4,pass,61473,1626.7
elementary,test_test5,pass,113237,883.1
flow,test_continue1,pass,200000,223.7
flow,test_error1,pass,140551,711.5
flow,test_for1,pass,28058,3564.1
flow,test_for2,pass,16167,6185.5
flow,test_for3,pass,29394,3402.1
flow,test_for4,pass,24519,4078.5
flow,test_if1,pass,200000,481.3
flow,test_if2,pass,199751,500.6
flow,test_if3,pass,164935,606.3
flow,test_if4,pass,126602,789.9
flow,test_lasterr1,pass,79187,1262.8
flow,test_switch1,pass,98735,1012.8
flow,test_switch2,pass,103076,970.2
flow,test_switch3,pass,102798,972.8
flow,test_switch4,pass,85294,1172.4
flow,test_switch5,pass,134948,741.0
flow,test_switch6,pass,69894,1430.8
flow,test_switch7,pass,85202,1173.7
flow,test_switch8,pass,178272,560.9
flow,test_while1,pass,21889,4568.5
flow,test_while2,pass,13703,7298.0
flow,test_while3,pass,29617,3376.5
freemat,test_assignin1,pass,112545,888.5
freemat,test_assignin2,pass,80389,1244.0
freemat,test_builtin1,pass,120187,832.0
freemat,test_eval1,pass,70597,1416.5
freemat,test_eval2,pass,3479,28751.7
freemat,test_eval3,pass,49748,2010.2
freemat,test_evalin1,pass,29355,3406.6
freemat,test_evalin2,pass,30364,3293.4
freemat,test_feval1,pass,104560,956.4
freemat,test_jit,pass,8021,12468.1
freemat,test_source,pass,10256,9750.7
functions,test_call1,pass,25106,3983.1
functions,test_call2,pass,21059,4748.7
functions,test_call3,pass,68756,1454.4
functions,test_call4,pass,54959,1819.5
functions,test_fcall1,pass,43342,2307.3
functions,test_fcall2,pass,55328,1807.4
functions,test_fptr1,pass,92547,1080.5
functions,test_nargin1,pass,83213,1201.7
functions,test_nargin2,pass,81555,1226.2
handle,test_contour1,pass,83140,1202.8
handle,test_image1,pass,84761,1179.8
handle,test_plot1,pass,76272,1311.1
inspection,test_clear1,pass,104183,959.9
inspection,test_clear2,pass,86149,1160.8
inspection,test_empty,pass,10517,9508.7
inspection,test_exist1,pass,60252,1659.7
inspection,test_exist2,pass,181420,551.2
inspection,test_fieldnames1,pass,48698,2053.5
inspection,test_iscellstr1,pass,124232,805.0
inspection,test_iscellstr2,pass,136056,735.0
inspection,test_isfield1,pass,59520,1680.1
inspection,test_isset1,pass,110163,907.7
inspection,test_size1,pass,24274,4119.7
inspection,test_size2,pass,24291,4116.8
inspection,test_size3,pass,41476,2411.0
inspection,test_size4,pass,51458,1943.3
inspection,test_typeof1,pass,63061,1585.8
inspection,test_typeof2,pass,64356,1553.9
inspection,test_typeof3,pass,64127,1559.4
inspection,test_typeof4,pass,60154,1662.4
inspection,test_typeof5,pass,60778,1645.3
inspection,test_typeof6,pass,64452,1551.6
io,test_dlmread1,pass,1843,54269.9
io,test_file1,fail,2955,33842.6
io,test_imwrite_imread,pass,335,298852.1
io,test_load1,pass,2499,40022.5
io,test_save1,pass,1390,71989.5
io,test_sscanf1,pass,50522,1979.4
operators,test_power1,pass,4203,23797.3
operators,test_range1,pass,39632,2523.3
operators,test_range2,pass,36194,2763.0
operators,test_range3,pass,38779,2578.7
operators,test_range4,pass,41074,2434.7
operators,test_range5,pass,37887,2639.4
operators,test_range6,pass,33948,2945.8
operators,test_range7,pass,35660,2804.3
operators,test_range8,pass,33158,3015.9
operators,test_range9,pass,188504,530.5
operators,test_sparse100,pass,1473,67901.7
operators,test_sparse101,pass,1483,67455.0
operators,test_sparse102,pass,1042,96049.8
operators,test_sparse103,pass,1045,95767.0
operators,test_sparse104,pass,1073,93295.1
operators,test_sparse105,pass,1065,93929.3
operators,test_sparse106,pass,1065,93959.1
operators,test_sparse107,pass,1066,93845.5
operators,test_sparse108,pass,1075,93047.2
operators,test_sparse109,pass,1065,93957.5
operators,test_sparse110,pass,1067,93736.8
operators,test_sparse111,pass,1068,93646.8
operators,test_sparse112,pass,1023,97792.6
operators,test_sparse113,pass,1044,95858.5
operators,test_sparse114,pass,1396,71683.9
operators,test_sparse115,pass,1389,72037.0
operators,test_sparse117,pass,1,109255406.0
operators,test_sparse37,pass,6136,16298.5
operators,test_sparse38,pass,3447,29011.1
operators,test_sparse39,pass,6079,16452.6
operators,test_sparse40,pass,3416,29277.7
operators,test_sparse41,pass,6227,16060.0
operators,test_sparse42,pass,3452,28971.9
operators,test_sparse43,pass,8369,11949.1
operators,test_sparse44,pass,5348,18698.7
operators,test_sparse50,pass,14,7580473.2
operators,test_sparse51,pass,7,14504560.9
operators,test_sparse52,pass,15,6960669.9
operators,test_sparse53,pass,8,14022797.6
operators,test_sparse54,pass,14,7236534.6
operators,test_sparse55,pass,10,10041902.8
operators,test_sparse59,pass,1,249177619.0
operators,test_sparse60,pass,1,274167577.0
operators,test_sparse61,pass,1,277754655.0
operators,test_sparse76,pass,1,113510281.0
operators,test_sparse77,pass,1,110359548.0
operators,test_sparse78,pass,1,217277139.0
operators,test_sparse79,pass,1,212535256.0
operators,test_sparse80,pass,1,334465227.0
operators,test_sparse82,pass,11,9652499.1
operators,test_sparse84,pass,1493,67014.0
operators,test_sparse85,pass,1473,67891.4
operators,test_sparse86,pass,1466,68218.6
operators,test_sparse87,pass,1466,68247.6
operators,test_sparse88,pass,1466,68249.2
operators,test_sparse89,pass,1460,68517.4
operators,test_sparse90,pass,1440,69479.8
operators,test_sparse91,pass,1441,69405.7
operators,test_sparse92,pass,1458,68623.1
operators,test_sparse93,pass,1459,68542.4
operators,test_sparse94,pass,1442,69363.9
operators,test_sparse95,pass,1449,69051.4
operators,test_sparse96,pass,1462,68403.5
operators,test_sparse97,pass,1474,67858.8
operators,test_sparse98,pass,1482,67507.9
operators,test_sparse99,pass,1482,67549.0
random,test_seed1,pass,57919,1726.6
signal,test_conv2_1,pass,6921,14451.3
sparse,test_sparse1,pass,1675,59711.1
sparse,test_sparse10,pass,5357,18667.3
sparse,test_sparse11,pass,5507,18161.6
sparse,test_sparse12,pass,5833,17145.7
sparse,test_sparse13,pass,3189,31366.8
sparse,test_sparse14,pass,3247,30798.9
sparse,test_sparse15,pass,13338,7497.4
sparse,test_sparse16,pass,12500,8000.2
sparse,test_sparse17,pass,12785,7822.1
sparse,test_sparse18,pass,8078,12380.7
sparse,test_sparse19,pass,8045,12430.5
sparse,test_sparse2,pass,7323,13656.6
sparse,test_sparse22,pass,4,29008688.5
sparse,test_sparse23,pass,2,57139112.5
sparse,test_sparse24,pass,2643,37837.4
sparse,test_sparse25,pass,1,145852666.0
sparse,test_sparse26,pass,1,155644447.0
sparse,test_sparse27,pass,8217,12170.6
sparse,test_sparse28,pass,7520,13299.3
sparse,test_sparse29,pass,7742,12916.6
sparse,test_sparse3,pass,6863,14572.3
sparse,test_sparse30,pass,5266,18991.8
sparse,test_sparse31,pass,6741,14836.5
sparse,test_sparse32,pass,6889,14516.9
sparse,test_sparse33,pass,4674,21395.4
sparse,test_sparse34,pass,9191,10880.3
sparse,test_sparse35,pass,3069,32589.4
sparse,test_sparse36,pass,5478,18257.5
sparse,test_sparse4,pass,6975,14338.3
sparse,test_sparse45,pass,609,164483.7
